create file
Number of training examples: 64
Number of validation examples: 12
Number of testing examples: 4
Unique tokens in source assembly vocabulary: 72 
Max input length : 583
Max output length : 235
Epoch: 0 | Time: 0m 2s | learning rate 0.003
  - (Training)   ppl:  138.16227, accuracy: 1.282 %, elapse: 0.046 min
  - (Validation) ppl:  379.33519, accuracy: 0.000 %, elapse: 0.046 min
Epoch: 1 | Time: 0m 0s | learning rate 0.005
  - (Training)   ppl:  93.82728, accuracy: 0.000 %, elapse: 0.013 min
  - (Validation) ppl:  109.08545, accuracy: 0.000 %, elapse: 0.013 min
Epoch: 2 | Time: 0m 0s | learning rate 0.008
  - (Training)   ppl:  123.73977, accuracy: 1.176 %, elapse: 0.013 min
  - (Validation) ppl:  126.08404, accuracy: 0.000 %, elapse: 0.013 min
Epoch: 3 | Time: 0m 0s | learning rate 0.010
  - (Training)   ppl:  101.39986, accuracy: 2.564 %, elapse: 0.014 min
  - (Validation) ppl:  80.26720, accuracy: 0.000 %, elapse: 0.014 min
Epoch: 4 | Time: 0m 0s | learning rate 0.012
  - (Training)   ppl:  95.98815, accuracy: 1.220 %, elapse: 0.014 min
  - (Validation) ppl:  70.16829, accuracy: 0.000 %, elapse: 0.014 min
Epoch: 5 | Time: 0m 0s | learning rate 0.015
  - (Training)   ppl:  72.61642, accuracy: 2.632 %, elapse: 0.014 min
  - (Validation) ppl:  54.28140, accuracy: 0.000 %, elapse: 0.014 min
Epoch: 6 | Time: 0m 0s | learning rate 0.017
  - (Training)   ppl:  82.19772, accuracy: 2.439 %, elapse: 0.013 min
  - (Validation) ppl:  92.27724, accuracy: 0.000 %, elapse: 0.013 min
Epoch: 7 | Time: 0m 0s | learning rate 0.020
  - (Training)   ppl:  81.24003, accuracy: 5.405 %, elapse: 0.013 min
  - (Validation) ppl:  72.31659, accuracy: 0.000 %, elapse: 0.013 min
Epoch: 8 | Time: 0m 0s | learning rate 0.022
  - (Training)   ppl:  67.41556, accuracy: 8.108 %, elapse: 0.013 min
  - (Validation) ppl:  59.96551, accuracy: 12.500 %, elapse: 0.013 min
Epoch: 9 | Time: 0m 0s | learning rate 0.025
  - (Training)   ppl:  63.81036, accuracy: 7.895 %, elapse: 0.013 min
  - (Validation) ppl:  55.52786, accuracy: 21.429 %, elapse: 0.013 min
Epoch: 10 | Time: 0m 0s | learning rate 0.028
  - (Training)   ppl:  63.13005, accuracy: 8.333 %, elapse: 0.014 min
  - (Validation) ppl:  33.44350, accuracy: 31.250 %, elapse: 0.014 min
Epoch: 11 | Time: 0m 0s | learning rate 0.030
  - (Training)   ppl:  49.66293, accuracy: 18.072 %, elapse: 0.014 min
  - (Validation) ppl:  31.66923, accuracy: 35.714 %, elapse: 0.014 min
Epoch: 12 | Time: 0m 0s | learning rate 0.033
  - (Training)   ppl:  45.40265, accuracy: 15.000 %, elapse: 0.013 min
  - (Validation) ppl:  41.55413, accuracy: 25.000 %, elapse: 0.013 min
Epoch: 13 | Time: 0m 0s | learning rate 0.035
  - (Training)   ppl:  67.76406, accuracy: 11.842 %, elapse: 0.013 min
  - (Validation) ppl:  54.48776, accuracy: 14.286 %, elapse: 0.013 min
Epoch: 14 | Time: 0m 0s | learning rate 0.037
  - (Training)   ppl:  46.98999, accuracy: 19.512 %, elapse: 0.013 min
  - (Validation) ppl:  47.48890, accuracy: 7.692 %, elapse: 0.013 min
Epoch: 15 | Time: 0m 0s | learning rate 0.040
  - (Training)   ppl:  43.81585, accuracy: 12.000 %, elapse: 0.014 min
  - (Validation) ppl:  25.11305, accuracy: 33.333 %, elapse: 0.014 min
Epoch: 16 | Time: 0m 0s | learning rate 0.043
  - (Training)   ppl:  35.28586, accuracy: 20.988 %, elapse: 0.014 min
  - (Validation) ppl:  24.90165, accuracy: 28.571 %, elapse: 0.014 min
Epoch: 17 | Time: 0m 0s | learning rate 0.045
  - (Training)   ppl:  42.58087, accuracy: 20.732 %, elapse: 0.014 min
  - (Validation) ppl:  21.01629, accuracy: 20.000 %, elapse: 0.014 min
Epoch: 18 | Time: 0m 0s | learning rate 0.047
  - (Training)   ppl:  30.45425, accuracy: 23.377 %, elapse: 0.013 min
  - (Validation) ppl:  25.25106, accuracy: 31.250 %, elapse: 0.013 min
Epoch: 19 | Time: 0m 0s | learning rate 0.050
  - (Training)   ppl:  33.94781, accuracy: 18.519 %, elapse: 0.013 min
  - (Validation) ppl:  24.94831, accuracy: 26.667 %, elapse: 0.013 min
Epoch: 20 | Time: 0m 0s | learning rate 0.052
  - (Training)   ppl:  23.04019, accuracy: 26.744 %, elapse: 0.014 min
  - (Validation) ppl:  12.20541, accuracy: 42.857 %, elapse: 0.014 min
Epoch: 21 | Time: 0m 0s | learning rate 0.055
  - (Training)   ppl:  22.29780, accuracy: 24.051 %, elapse: 0.013 min
  - (Validation) ppl:  19.16072, accuracy: 21.429 %, elapse: 0.013 min
Epoch: 22 | Time: 0m 0s | learning rate 0.058
  - (Training)   ppl:  30.35734, accuracy: 16.471 %, elapse: 0.013 min
  - (Validation) ppl:  13.11406, accuracy: 21.429 %, elapse: 0.013 min
Epoch: 23 | Time: 0m 0s | learning rate 0.060
  - (Training)   ppl:  13.77055, accuracy: 33.735 %, elapse: 0.015 min
  - (Validation) ppl:  11.48733, accuracy: 31.250 %, elapse: 0.015 min
Epoch: 24 | Time: 0m 0s | learning rate 0.062
  - (Training)   ppl:  32.07364, accuracy: 12.000 %, elapse: 0.014 min
  - (Validation) ppl:  15.26479, accuracy: 28.571 %, elapse: 0.014 min
Epoch: 25 | Time: 0m 0s | learning rate 0.065
  - (Training)   ppl:  18.91986, accuracy: 20.732 %, elapse: 0.014 min
  - (Validation) ppl:  19.24633, accuracy: 20.000 %, elapse: 0.014 min
Epoch: 26 | Time: 0m 0s | learning rate 0.067
  - (Training)   ppl:  19.45802, accuracy: 23.457 %, elapse: 0.013 min
  - (Validation) ppl:  22.76638, accuracy: 20.000 %, elapse: 0.013 min
Epoch: 27 | Time: 0m 0s | learning rate 0.070
  - (Training)   ppl:  25.61332, accuracy: 21.053 %, elapse: 0.013 min
  - (Validation) ppl:  14.54127, accuracy: 31.250 %, elapse: 0.013 min
Epoch: 28 | Time: 0m 0s | learning rate 0.072
  - (Training)   ppl:  22.38689, accuracy: 16.456 %, elapse: 0.013 min
  - (Validation) ppl:  14.51894, accuracy: 28.571 %, elapse: 0.013 min
Epoch: 29 | Time: 0m 0s | learning rate 0.075
  - (Training)   ppl:  20.36043, accuracy: 24.390 %, elapse: 0.013 min
  - (Validation) ppl:  19.74547, accuracy: 20.000 %, elapse: 0.013 min
Epoch: 30 | Time: 0m 0s | learning rate 0.077
  - (Training)   ppl:  23.47946, accuracy: 14.634 %, elapse: 0.013 min
  - (Validation) ppl:  13.76934, accuracy: 29.412 %, elapse: 0.013 min
Epoch: 31 | Time: 0m 0s | learning rate 0.080
  - (Training)   ppl:  18.90551, accuracy: 15.663 %, elapse: 0.013 min
  - (Validation) ppl:  24.81081, accuracy: 21.429 %, elapse: 0.013 min
Epoch: 32 | Time: 0m 0s | learning rate 0.082
  - (Training)   ppl:  19.50456, accuracy: 17.442 %, elapse: 0.013 min
  - (Validation) ppl:  18.58465, accuracy: 31.250 %, elapse: 0.013 min
Epoch: 33 | Time: 0m 0s | learning rate 0.085
  - (Training)   ppl:  21.21028, accuracy: 20.482 %, elapse: 0.013 min
  - (Validation) ppl:  14.21918, accuracy: 33.333 %, elapse: 0.013 min
Epoch: 34 | Time: 0m 0s | learning rate 0.087
  - (Training)   ppl:  24.65033, accuracy: 22.892 %, elapse: 0.013 min
  - (Validation) ppl:  14.70657, accuracy: 29.412 %, elapse: 0.013 min
Epoch: 35 | Time: 0m 0s | learning rate 0.090
  - (Training)   ppl:  23.56762, accuracy: 20.732 %, elapse: 0.013 min
  - (Validation) ppl:  34.56583, accuracy: 14.286 %, elapse: 0.013 min
Epoch: 36 | Time: 0m 0s | learning rate 0.092
  - (Training)   ppl:  22.39303, accuracy: 13.750 %, elapse: 0.014 min
  - (Validation) ppl:  9.63862, accuracy: 37.500 %, elapse: 0.014 min
Epoch: 37 | Time: 0m 0s | learning rate 0.095
  - (Training)   ppl:  18.48277, accuracy: 16.092 %, elapse: 0.013 min
  - (Validation) ppl:  8.46470, accuracy: 25.000 %, elapse: 0.013 min
