create file
Number of training examples: 80
Number of validation examples: 15
Number of testing examples: 5
Unique tokens in source assembly vocabulary: 72 
Max input length : 491
Max output length : 6
Epoch: 0 | Time: 0m 13s | learning rate 0.003
  - (Training)   ppl:  47.81678, accuracy: 0.000 %, elapse: 0.233 min
  - (Validation) ppl:  45.54247, accuracy: 0.000 %, elapse: 0.233 min
Epoch: 1 | Time: 0m 1s | learning rate 0.006
  - (Training)   ppl:  52.24791, accuracy: 0.000 %, elapse: 0.025 min
  - (Validation) ppl:  40.08330, accuracy: 0.000 %, elapse: 0.025 min
Epoch: 2 | Time: 0m 1s | learning rate 0.009
  - (Training)   ppl:  42.44818, accuracy: 1.250 %, elapse: 0.024 min
  - (Validation) ppl:  32.63103, accuracy: 0.000 %, elapse: 0.024 min
Epoch: 3 | Time: 0m 1s | learning rate 0.012
  - (Training)   ppl:  37.70621, accuracy: 1.250 %, elapse: 0.024 min
  - (Validation) ppl:  24.58030, accuracy: 0.000 %, elapse: 0.024 min
Epoch: 4 | Time: 0m 1s | learning rate 0.016
  - (Training)   ppl:  27.85761, accuracy: 6.250 %, elapse: 0.024 min
  - (Validation) ppl:  17.16402, accuracy: 0.000 %, elapse: 0.024 min
Epoch: 5 | Time: 0m 1s | learning rate 0.019
  - (Training)   ppl:  21.15609, accuracy: 6.250 %, elapse: 0.024 min
  - (Validation) ppl:  11.22743, accuracy: 0.000 %, elapse: 0.024 min
Epoch: 6 | Time: 0m 1s | learning rate 0.022
  - (Training)   ppl:  14.13457, accuracy: 26.250 %, elapse: 0.024 min
  - (Validation) ppl:  6.95775, accuracy: 0.000 %, elapse: 0.024 min
Epoch: 7 | Time: 0m 1s | learning rate 0.025
  - (Training)   ppl:  9.86899, accuracy: 38.750 %, elapse: 0.024 min
  - (Validation) ppl:  4.24126, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 8 | Time: 0m 1s | learning rate 0.028
  - (Training)   ppl:  7.03824, accuracy: 58.750 %, elapse: 0.024 min
  - (Validation) ppl:  2.65095, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 9 | Time: 0m 1s | learning rate 0.031
  - (Training)   ppl:  4.61258, accuracy: 72.500 %, elapse: 0.024 min
  - (Validation) ppl:  1.78417, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 10 | Time: 0m 1s | learning rate 0.034
  - (Training)   ppl:  2.90246, accuracy: 93.750 %, elapse: 0.024 min
  - (Validation) ppl:  1.35575, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 11 | Time: 0m 1s | learning rate 0.037
  - (Training)   ppl:  1.91804, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.15597, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 12 | Time: 0m 1s | learning rate 0.041
  - (Training)   ppl:  1.52091, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.06677, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 13 | Time: 0m 1s | learning rate 0.044
  - (Training)   ppl:  1.24805, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.02849, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 14 | Time: 0m 1s | learning rate 0.047
  - (Training)   ppl:  1.13025, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.01220, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 15 | Time: 0m 1s | learning rate 0.050
  - (Training)   ppl:  1.05648, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00529, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 16 | Time: 0m 1s | learning rate 0.053
  - (Training)   ppl:  1.02826, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00234, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 17 | Time: 0m 1s | learning rate 0.056
  - (Training)   ppl:  1.01467, accuracy: 100.000 %, elapse: 0.025 min
  - (Validation) ppl:  1.00107, accuracy: 100.000 %, elapse: 0.025 min
Epoch: 18 | Time: 0m 1s | learning rate 0.059
  - (Training)   ppl:  1.00645, accuracy: 100.000 %, elapse: 0.025 min
  - (Validation) ppl:  1.00050, accuracy: 100.000 %, elapse: 0.025 min
Epoch: 19 | Time: 0m 1s | learning rate 0.062
  - (Training)   ppl:  1.00328, accuracy: 100.000 %, elapse: 0.025 min
  - (Validation) ppl:  1.00024, accuracy: 100.000 %, elapse: 0.025 min
Epoch: 20 | Time: 0m 1s | learning rate 0.066
  - (Training)   ppl:  1.00159, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00012, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 21 | Time: 0m 1s | learning rate 0.069
  - (Training)   ppl:  1.00081, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00007, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 22 | Time: 0m 1s | learning rate 0.072
  - (Training)   ppl:  1.00054, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00004, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 23 | Time: 0m 1s | learning rate 0.075
  - (Training)   ppl:  1.00037, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00003, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 24 | Time: 0m 1s | learning rate 0.078
  - (Training)   ppl:  1.00024, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00002, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 25 | Time: 0m 1s | learning rate 0.081
  - (Training)   ppl:  1.00021, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00002, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 26 | Time: 0m 1s | learning rate 0.084
  - (Training)   ppl:  1.00017, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00002, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 27 | Time: 0m 1s | learning rate 0.087
  - (Training)   ppl:  1.00016, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00001, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 28 | Time: 0m 1s | learning rate 0.091
  - (Training)   ppl:  1.00012, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00001, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 29 | Time: 0m 1s | learning rate 0.094
  - (Training)   ppl:  1.00011, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00001, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 30 | Time: 0m 1s | learning rate 0.097
  - (Training)   ppl:  1.00010, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00001, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 31 | Time: 0m 1s | learning rate 0.100
  - (Training)   ppl:  1.00009, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00001, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 32 | Time: 0m 1s | learning rate 0.103
  - (Training)   ppl:  1.00009, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00001, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 33 | Time: 0m 1s | learning rate 0.106
  - (Training)   ppl:  1.00008, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00001, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 34 | Time: 0m 1s | learning rate 0.109
  - (Training)   ppl:  1.00008, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00001, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 35 | Time: 0m 1s | learning rate 0.112
  - (Training)   ppl:  1.00008, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00001, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 36 | Time: 0m 1s | learning rate 0.116
  - (Training)   ppl:  1.00006, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00001, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 37 | Time: 0m 1s | learning rate 0.119
  - (Training)   ppl:  1.00006, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00001, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 38 | Time: 0m 1s | learning rate 0.122
  - (Training)   ppl:  1.00006, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00001, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 39 | Time: 0m 1s | learning rate 0.125
  - (Training)   ppl:  1.00005, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 40 | Time: 0m 1s | learning rate 0.128
  - (Training)   ppl:  1.00004, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 41 | Time: 0m 1s | learning rate 0.131
  - (Training)   ppl:  1.00005, accuracy: 100.000 %, elapse: 0.024 min
  - (Validation) ppl:  1.00000, accuracy: 100.000 %, elapse: 0.024 min
Epoch: 42 | Time: 0m 1s | learning rate 0.134
